Interatomic distances:
40 19 7.907107
40 20 4.052357
40 21 9.247813
40 22 5.538020
40 23 9.355395
40 24 7.445755
40 25 7.325612
40 26 7.858780
40 27 5.550461
40 28 6.897669
40 29 7.417575
40 30 5.031562
40 31 9.129735
40 32 4.975800
40 33 10.009472
40 34 7.298918
40 35 8.418288
40 36 9.073229
40 37 7.296949
40 38 7.340709
40 39 11.026390
41 0 2.800109
41 1 10.103193
41 2 4.697907
41 3 7.246871
41 4 4.713192
41 5 9.255517
41 6 2.773751
41 7 9.717066
41 8 2.886686
41 9 9.212016
41 10 8.379105
41 11 4.788135
41 12 8.451438
41 13 5.598776
41 14 6.729346
41 15 5.531513
41 16 7.337303
41 17 5.541486
41 18 6.708161
41 19 5.591464
41 20 9.308155
41 21 4.046550
41 22 9.272701
41 23 5.615791
41 24 7.977172
41 25 6.919932
41 26 7.369174
41 27 7.918625
41 28 7.401659
41 29 7.385909
41 30 9.188591
41 31 5.004002
41 32 10.080488
41 33 4.998299
41 34 9.108635
41 35 7.361677
41 36 7.326098
41 37 7.391524
41 38 8.464549
41 39 3.104329
41 40 11.730440
42 0 10.103201
42 1 2.800109
42 2 7.246879
42 3 4.697913
42 4 9.255530
42 5 4.713201
42 6 9.717073
42 7 2.773759
42 8 9.212023
42 9 2.886692
42 10 4.788144
42 11 8.379109
42 12 5.598787
42 13 8.451450
42 14 6.729353
42 15 7.337303
42 16 5.531513
42 17 6.708167
42 18 5.541495
42 19 9.308168
42 20 5.591472
42 21 9.272701
42 22 4.046550
42 23 7.977172
42 24 5.615791
42 25 7.369177
42 26 6.919942
42 27 7.401670
42 28 7.918636
42 29 9.188602
42 30 7.385918
42 31 10.080492
42 32 5.004010
42 33 9.108635
42 34 4.998299
42 35 7.326101
42 36 7.361686
42 37 8.464560
42 38 7.391533
42 39 11.730446
42 40 3.104332
42 41 11.751923
43 0 2.791496
43 1 10.094647
43 2 4.697096
43 3 7.246478
43 4 5.639273
43 5 9.703686
43 6 4.657224
43 7 9.232444
43 8 2.737817
43 9 8.397706
43 10 8.379142
43 11 2.923097
43 12 9.254979
43 13 4.845244
43 14 7.371777
43 15 6.672322
43 16 6.733204
43 17 5.484157
43 18 5.541520
43 19 7.411425
43 20 9.327636
43 21 5.511599
43 22 7.926334
43 23 4.028202
43 24 6.960800
43 25 7.869677
43 26 5.610890
43 27 9.275402
43 28 7.454715
43 29 8.537941
43 30 10.123388
43 31 7.300812
43 32 9.195160
43 33 4.937025
43 34 7.383336
43 35 7.322675
43 36 5.029970
43 37 9.100646
43 38 7.418831
43 39 5.025982
43 40 11.732287
43 41 3.072433
43 42 11.066602
44 0 10.094644
44 1 2.791495
44 2 7.246475
44 3 4.697094
44 4 9.703686
44 5 5.639273
44 6 9.232439
44 7 4.657227
44 8 8.397702
44 9 2.737819
44 10 2.923091
44 11 8.379132
44 12 4.845244
44 13 9.254979
44 14 7.371775
44 15 6.733192
44 16 6.672314
44 17 5.541515
44 18 5.484156
44 19 9.327636
44 20 7.411425
44 21 7.926320
44 22 5.511595
44 23 6.960787
44 24 4.028190
44 25 5.610881
44 26 7.869679
44 27 7.454715
44 28 9.275402
44 29 10.123388
44 30 8.537941
44 31 9.195153
44 32 7.300816
44 33 7.383322
44 34 4.937019
44 35 5.029962
44 36 7.322676
44 37 7.418831
44 38 9.100646
44 39 11.732279
44 40 5.025981
44 41 11.066589
44 42 3.072438
44 43 10.581572
45 0 10.099416
45 1 2.833297
45 2 7.250578
45 3 4.703262
45 4 9.180639
45 5 4.808801
45 6 8.370065
45 7 5.657565
45 8 8.424709
45 9 4.775322
45 10 2.847016
45 11 9.251485
45 12 2.845257
45 13 9.725204
45 14 6.711818
45 15 5.500778
45 16 7.355713
45 17 5.562937
45 18 6.733379
45 19 7.864192
45 20 7.443255
45 21 6.867496
45 22 7.455799
45 23 8.019038
45 24 5.651408
45 25 3.972900
45 26 9.316029
45 27 5.548609
45 28 9.275809
45 29 9.143180
45 30 7.371090
45 31 7.341457
45 32 8.515145
45 33 7.364975
45 34 7.398174
45 35 4.999491
45 36 9.159319
45 37 4.947823
45 38 10.076638
45 39 11.002092
45 40 5.079417
45 41 10.579458
45 42 5.146154
45 43 11.032842
45 44 3.304848
46 0 2.833297
46 1 10.099416
46 2 4.703262
46 3 7.250578
46 4 4.808805
46 5 9.180639
46 6 5.657565
46 7 8.370065
46 8 4.775322
46 9 8.424709
46 10 9.251496
46 11 2.847026
46 12 9.725207
46 13 2.845256
46 14 6.711818
46 15 7.355722
46 16 5.500787
46 17 6.733379
46 18 5.562937
46 19 7.443259
46 20 7.864190
46 21 7.455806
46 22 6.867505
46 23 5.651416
46 24 8.019047
46 25 9.316029
46 26 3.972900
46 27 9.275811
46 28 5.548608
46 29 7.371092
46 30 9.143180
46 31 8.515145
46 32 7.341457
46 33 7.398181
46 34 7.364984
46 35 9.159319
46 36 4.999491
46 37 10.076643
46 38 4.947817
46 39 5.079427
46 40 11.002100
46 41 5.146157
46 42 10.579468
46 43 3.304856
46 44 11.032841
46 45 11.776857
47 0 2.799158
47 1 10.125215
47 2 4.691998
47 3 7.257907
47 4 2.883038
47 5 8.390214
47 6 4.771978
47 7 8.464100
47 8 5.620164
47 9 9.286691
47 10 9.694372
47 11 4.743638
47 12 9.208686
47 13 2.787708
47 14 5.538147
47 15 6.691478
47 16 5.565016
47 17 7.355458
47 18 6.769677
47 19 5.568795
47 20 6.936042
47 21 7.376140
47 22 7.927163
47 23 7.484954
47 24 9.410592
47 25 9.251650
47 26 5.556749
47 27 7.872021
47 28 4.073157
47 29 5.029069
47 30 7.409046
47 31 7.305182
47 32 7.433789
47 33 8.451725
47 34 9.144138
47 35 10.035566
47 36 7.352435
47 37 9.078534
47 38 5.021733
47 39 3.080090
47 40 10.606238
47 41 5.037863
47 42 11.083204
47 43 5.108278
47 44 11.753881
47 45 11.745878
47 46 3.137934
48 0 10.125214
48 1 2.799162
48 2 7.257906
48 3 4.691999
48 4 8.390214
48 5 2.883038
48 6 8.464096
48 7 4.771984
48 8 9.286689
48 9 5.620167
48 10 4.743634
48 11 9.694363
48 12 2.787708
48 13 9.208686
48 14 5.538147
48 15 5.565003
48 16 6.691472
48 17 6.769675
48 18 7.355459
48 19 6.936042
48 20 5.568795
48 21 7.927151
48 22 7.376138
48 23 9.410584
48 24 7.484949
48 25 5.556743
48 26 9.251653
48 27 4.073157
48 28 7.872021
48 29 7.409046
48 30 5.029069
48 31 7.433782
48 32 7.305189
48 33 9.144128
48 34 8.451722
48 35 7.352432
48 36 10.035568
48 37 5.021733
48 38 9.078534
48 39 10.606228
48 40 3.080087
48 41 11.083191
48 42 5.037868
48 43 11.753881
48 44 5.108278
48 45 3.137930
48 46 11.745879
48 47 11.061976
49 0 4.981364
49 1 9.517308
49 2 5.394572
49 3 7.095978
49 4 2.757802
49 5 7.198474
49 6 4.112060
49 7 8.709398
49 8 6.717518
49 9 9.879998
49 10 9.336094
49 11 7.291998
49 12 7.692828
49 13 5.448700
49 14 4.583289
49 15 5.413093
49 16 6.632013
49 17 7.598226
49 18 8.171370
49 19 2.728055
49 20 6.670562
49 21 6.637657
49 22 9.491848
49 23 9.149653
49 24 10.301890
49 25 8.090877
49 26 8.210598
49 27 5.400643
49 28 4.700296
49 29 2.804767
49 30 5.357371
49 31 4.906863
49 32 8.626538
49 33 8.939935
49 34 10.885061
49 35 10.006123
49 36 9.891966
49 37 6.640636
49 38 7.273294
49 39 2.971291
49 40 9.852833
49 41 5.767184
49 42 11.310933
49 43 7.637627
49 44 11.711251
49 45 10.525913
49 46 7.029814
49 47 4.288719
49 48 9.349766
50 0 9.517311
50 1 4.981352
50 2 7.095978
50 3 5.394566
50 4 7.198484
50 5 2.757801
50 6 8.709399
50 7 4.112053
50 8 9.879997
50 9 6.717509
50 10 7.291993
50 11 9.336089
50 12 5.448699
50 13 7.692833
50 14 4.583291
50 15 6.632007
50 16 5.413086
50 17 8.171365
50 18 7.598222
50 19 6.670573
50 20 2.728058
50 21 9.491842
50 22 6.637648
50 23 10.301881
50 24 9.149643
50 25 8.210592
50 26 8.090877
50 27 4.700304
50 28 5.400652
50 29 5.357386
50 30 2.804782
50 31 8.626538
50 32 4.906863
50 33 10.885053
50 34 8.939925
50 35 9.891958
50 36 10.006120
50 37 7.273299
50 38 6.640638
50 39 9.852836
50 40 2.971281
50 41 11.310928
50 42 5.767174
50 43 11.711255
50 44 7.637616
50 45 7.029802
50 46 10.525917
50 47 9.349776
50 48 4.288713
50 49 8.061962
51 0 4.829113
51 1 9.522473
51 2 5.316929
51 3 7.070870
51 4 3.884336
51 5 7.828798
51 6 2.736575
51 7 9.429970
51 8 5.493274
51 9 9.806877
51 10 8.554696
51 11 7.180692
51 12 7.212609
51 13 6.484264
51 14 5.431470
51 15 4.585860
51 16 7.517755
51 17 6.582426
51 18 8.064869
51 19 2.800624
51 20 8.185848
51 21 4.626066
51 22 10.119462
51 23 8.225053
51 24 9.510578
51 25 6.604638
51 26 8.904101
51 27 5.518728
51 28 6.618565
51 29 5.015558
51 30 6.835606
51 31 2.800310
51 32 10.035081
51 33 7.184843
51 34 10.792449
51 35 8.506563
51 36 9.768452
51 37 5.363065
51 38 8.869521
51 39 2.826473
51 40 10.604215
51 41 4.129504
51 42 11.694327
51 43 6.810442
51 44 11.311136
51 45 9.819938
51 46 7.538668
51 47 5.633148
51 48 9.432674
51 49 2.937665
51 50 9.463889
52 0 9.522473
52 1 4.829102
52 2 7.070868
52 3 5.316923
52 4 7.828805
52 5 3.884335
52 6 9.429966
52 7 2.736570
52 8 9.806875
52 9 5.493269
52 10 7.180692
52 11 8.554696
52 12 6.484263
52 13 7.212617
52 14 5.431465
52 15 7.517746
52 16 4.585855
52 17 8.064864
52 18 6.582425
52 19 8.185852
52 20 2.800630
52 21 10.119453
52 22 4.626065
52 23 9.510573
52 24 8.225048
52 25 8.904092
52 26 6.604643
52 27 6.618565
52 28 5.518736
52 29 6.835612
52 30 5.015560
52 31 10.035074
